iter	Passed	Remaining
338	7638	14893
339	7657	14864
340	7676	14835
341	7694	14803
342	7712	14772
343	7730	14742
344	7749	14712
345	7768	14684
346	7786	14652
347	7804	14621
348	7827	14600
349	7845	14570
350	7863	14539
351	7881	14508
352	7899	14478
353	7917	14448
354	7939	14424
355	7957	14395
356	7975	14364
357	7993	14334
358	8011	14305
359	8029	14274
360	8048	14246
361	8066	14217
362	8084	14186
363	8101	14156
364	8118	14124
365	8136	14094
366	8153	14062
367	8172	14034
368	8190	14005
369	8213	13985
370	8232	13958
371	8251	13930
372	8270	13902
373	8289	13875
374	8307	13845
375	8324	13815
376	8346	13792
377	8365	13765
378	8384	13737
379	8403	13710
380	8423	13685
381	8441	13656
382	8460	13629
383	8478	13601
384	8498	13575
385	8519	13551
386	8539	13526
387	8560	13502
388	8579	13474
389	8598	13449
390	8618	13423
391	8637	13397
392	8656	13369
393	8675	13343
394	8695	13318
395	8716	13294
396	8737	13270
397	8755	13243
398	8777	13220
399	8796	13195
400	8814	13167
401	8833	13140
402	8851	13111
403	8870	13085
404	8887	13056
405	8904	13028
406	8922	13000
407	8941	12973
408	8958	12944
409	8976	12917
410	9013	12916
411	9048	12914
412	9084	12911
413	9113	12899
414	9142	12887
415	9171	12875
416	9195	12855
417	9218	12836
418	9243	12817
419	9264	12794
420	9286	12771
421	9307	12747
422	9329	12725
423	9353	12707
424	9374	12682
425	9394	12658
426	9414	12634
427	9433	12607
428	9450	12578
429	9469	12552
430	9487	12525
431	9505	12497
432	9523	12470
433	9541	12443
434	9559	12416
435	9582	12395
436	9600	12368
437	9619	12342
438	9636	12313
439	9658	12292
440	9675	12264
441	9692	12236
442	9710	12209
443	9729	12183
444	9748	12157
445	9766	12131
446	9783	12103
447	9802	12078
448	9819	12049
449	9837	12023
450	9855	11997
451	9875	11972
452	9894	11947
453	9912	11921
454	9930	11895
455	9950	11870
456	9967	11843
457	9985	11816
458	10003	11790
459	10022	11765
460	10040	11739
461	10059	11714
462	10077	11687
463	10095	11661
464	10112	11634
465	10130	11608
466	10148	11583
467	10167	11557
468	10185	11532
469	10204	11507
470	10223	11482
471	10243	11458
472	10260	11431
473	10279	11406
474	10337	11425
475	10379	11426
476	10414	11418
477	10449	11411
478	10478	11397
479	10508	11384
480	10538	11371
481	10563	11352
482	10587	11332
483	10611	11313
484	10636	11294
485	10657	11272
486	10679	11249
487	10700	11227
488	10722	11204
489	10742	11181
490	10761	11156
491	10781	11132
492	10802	11108
493	10821	11084
494	10841	11060
495	10859	11034
496	10877	11008
497	10895	10982
498	10913	10957
499	10932	10932
500	10950	10907
501	10968	10881
502	10987	10855
503	11005	10830
504	11023	10805
505	11041	10779
506	11058	10753
507	11079	10730
508	11097	10704
509	11115	10680
510	11133	10654
511	11153	10630
512	11171	10605
513	11190	10580
514	11208	10555
515	11226	10530
516	11244	10505
517	11262	10479
518	11280	10454
519	11303	10433
520	11326	10413
521	11344	10388
522	11362	10363
523	11381	10338
524	11399	10313
525	11417	10288
526	11436	10264
527	11458	10242
528	11475	10217
529	11493	10192
530	11511	10167
531	11529	10142
532	11547	10117
533	11564	10092
534	11584	10068
535	11605	10046
536	11623	10021
537	11642	9997
538	11660	9973
539	11679	9949
540	11698	9925
541	11716	9901
542	11735	9876
543	11753	9852
544	11772	9828
545	11791	9804
546	11809	9779
547	11827	9755
548	11845	9731
549	11870	9712
550	11888	9687
551	11906	9663
552	11924	9638
553	11942	9614
554	11961	9591
555	11979	9566
556	11997	9542
557	12016	9518
558	12035	9495
559	12054	9471
560	12073	9447
561	12091	9423
562	12109	9399
563	12128	9375
564	12146	9351
565	12164	9327
566	12182	9303
567	12200	9279
568	12218	9255
569	12237	9231
570	12257	9209
571	12276	9186
572	12294	9162
573	12313	9138
574	12331	9114
575	12349	9090
576	12366	9066
577	12385	9042
578	12402	9018
579	12420	8994
580	12438	8970
581	12455	8945
582	12472	8920
583	12489	8896
584	12507	8873
585	12525	8848
586	12541	8824
587	12560	8801
588	12578	8777
589	12595	8752
590	12612	8728
591	12630	8704
592	12648	8681
593	12667	8658
594	12685	8634
595	12707	8613
596	12726	8590
597	12744	8567
598	12767	8547
599	12786	8524
600	12805	8501
601	12823	8478
602	12843	8455
603	12865	8434
604	12883	8411
605	12907	8391
606	12924	8367
607	12942	8344
608	12959	8320
609	12979	8298
610	12997	8275
611	13016	8252
612	13035	8229
613	13053	8206
614	13070	8182
615	13090	8160
616	13107	8136
617	13125	8113
618	13143	8090
619	13162	8067
620	13181	8044
621	13199	8021
622	13217	7998
623	13235	7975
624	13253	7952
625	13276	7932
626	13294	7908
627	13315	7887
628	13333	7864
629	13352	7841
630	13370	7818
631	13387	7795
632	13405	7772
633	13424	7749
634	13441	7726
635	13460	7704
636	13477	7680
637	13495	7657
638	13513	7634
639	13530	7611
640	13548	7588
641	13566	7565
642	13584	7542
643	13602	7519
644	13621	7497
645	13639	7474
646	13657	7451
647	13680	7431
648	13700	7409
649	13718	7386
650	13736	7364
651	13755	7341
652	13773	7319
653	13791	7296
654	13809	7273
655	13828	7251
656	13847	7229
657	13866	7207
658	13884	7184
659	13902	7161
660	13919	7138
661	13936	7115
662	13954	7093
663	13972	7070
664	13989	7047
665	14009	7025
666	14028	7003
667	14046	6981
668	14064	6958
669	14081	6935
670	14099	6913
671	14118	6891
672	14135	6868
673	14157	6847
674	14175	6825
675	14193	6802
676	14210	6779
677	14229	6758
678	14248	6735
679	14266	6713
680	14284	6691
681	14301	6668
682	14319	6646
683	14337	6623
684	14354	6601
685	14374	6579
686	14392	6557
687	14414	6536
688	14432	6514
689	14450	6492
690	14469	6470
691	14487	6448
692	14505	6426
693	14522	6403
694	14540	6381
695	14558	6358
696	14576	6336
697	14594	6314
698	14612	6292
699	14629	6269
700	14648	6248
701	14666	6226
702	14684	6204
703	14701	6181
704	14719	6159
705	14737	6137
706	14755	6115
707	14774	6093
708	14793	6071
709	14812	6050
710	14831	6028
711	14847	6005
712	14865	5983
713	14883	5961
714	14900	5939
715	14918	5917
716	14936	5895
717	14954	5873
718	14972	5851
719	14991	5829
720	15009	5808
721	15028	5786
722	15045	5764
723	15067	5743
724	15085	5722
725	15102	5700
726	15120	5678
727	15138	5656
728	15157	5634
729	15174	5612
730	15192	5590
731	15210	5568
732	15227	5546
733	15245	5525
734	15263	5503
735	15281	5481
736	15298	5459
737	15316	5437
738	15334	5415
739	15352	5393
740	15370	5372
741	15387	5350
742	15405	5328
743	15422	5306
744	15441	5285
745	15463	5265
746	15482	5243
747	15499	5221
748	15518	5200
749	15535	5178
750	15584	5167
751	15633	5155
752	15668	5139
753	15703	5123
754	15732	5105
755	15760	5086
756	15789	5068
757	15815	5049
758	15838	5029
759	15862	5009
760	15887	4989
761	15909	4969
762	15931	4948
763	15953	4927
764	15975	4907
765	15995	4886
766	16015	4865
767	16035	4844
768	16055	4822
769	16075	4801
770	16092	4779
771	16109	4757
772	16126	4735
773	16144	4714
774	16163	4692
775	16180	4670
776	16197	4648
777	16215	4627
778	16234	4605
779	16252	4584
780	16272	4562
781	16290	4541
782	16308	4519
783	16326	4498
784	16347	4477
785	16365	4455
786	16383	4434
787	16402	4412
788	16420	4391
789	16443	4370
790	16462	4349
791	16480	4328
792	16497	4306
793	16514	4284
794	16533	4263
795	16551	4241
796	16569	4220
797	16588	4198
798	16606	4177
799	16625	4156
800	16643	4134
801	16661	4113
802	16680	4092
803	16699	4070
804	16718	4049
805	16736	4028
806	16755	4007
807	16773	3985
808	16791	3964
809	16809	3943
810	16828	3921
811	16845	3900
812	16865	3879
813	16882	3857
814	16900	3836
815	16919	3815
816	16937	3793
817	16955	3772
818	16973	3751
819	16990	3729
820	17008	3708
821	17026	3687
822	17044	3665
823	17062	3644
824	17080	3623
825	17100	3602
826	17117	3580
827	17136	3559
828	17155	3538
829	17173	3517
830	17192	3496
831	17210	3475
832	17231	3454
833	17253	3434
834	17271	3412
835	17289	3391
836	17306	3370
837	17325	3349
838	17343	3328
839	17361	3306
840	17380	3285
841	17399	3264
842	17416	3243
843	17434	3222
844	17453	3201
845	17470	3180
846	17488	3159
847	17506	3138
848	17524	3116
849	17540	3095
850	17558	3074
851	17576	3053
852	17594	3032
853	17612	3010
854	17629	2989
855	17647	2968
856	17664	2947
857	17681	2926
858	17700	2905
859	17718	2884
860	17737	2863
861	17759	2843
862	17782	2822
863	17800	2801
864	17817	2780
865	17835	2759
866	17853	2738
867	17872	2717
868	17890	2696
869	17907	2675
870	17926	2654
871	17944	2634
872	17961	2612
873	17983	2592
874	18000	2571
875	18016	2550
876	18034	2529
877	18051	2508
878	18068	2487
879	18088	2466
880	18105	2445
881	18122	2424
882	18141	2403
883	18159	2382
884	18177	2362
885	18195	2341
886	18215	2320
887	18232	2299
888	18249	2278
889	18266	2257
890	18283	2236
891	18302	2215
892	18320	2195
893	18339	2174
894	18358	2153
895	18375	2132
896	18393	2112
897	18410	2091
898	18427	2070
899	18444	2049
900	18464	2028
901	18484	2008
902	18503	1987
903	18525	1967
904	18542	1946
905	18562	1925
906	18582	1905
907	18608	1885
908	18630	1865
909	18651	1844
910	18673	1824
911	18693	1803
912	18711	1783
913	18730	1762
914	18748	1741
915	18770	1721
916	18794	1701
917	18814	1680
918	18832	1659
919	18852	1639
920	18871	1618
921	18890	1598
922	18908	1577
923	18928	1556
924	18946	1536
925	18965	1515
926	18985	1495
927	19003	1474
928	19022	1453
929	19039	1433
930	19057	1412
931	19075	1391
932	19092	1371
933	19111	1350
934	19128	1329
935	19146	1309
936	19163	1288
937	19181	1267
938	19203	1247
939	19221	1226
940	19238	1206
941	19256	1185
942	19274	1165
943	19296	1144
944	19314	1124
945	19332	1103
946	19362	1083
947	19390	1063
948	19423	1043
949	19457	1024
950	19485	1003
951	19505	983
952	19525	962
953	19544	942
954	19564	921
955	19585	901
956	19605	880
957	19625	860
958	19645	839
959	19663	819
960	19684	798
961	19704	778
962	19723	757
963	19741	737
964	19760	716
965	19777	696
966	19796	675
967	19816	655
968	19835	634
969	19854	614
970	19873	593
971	19892	573
972	19911	552
973	19932	532
974	19950	511
975	19968	491
976	19986	470
977	20004	450
978	20022	429
979	20041	409
980	20060	388
981	20079	368
982	20098	347
983	20116	327
984	20135	306
985	20158	286
986	20175	265
987	20192	245
988	20210	224
989	20229	204
990	20246	183
991	20264	163
992	20284	142
993	20303	122
994	20321	102
995	20338	81
996	20360	61
997	20378	40
998	20395	20
999	20415	0
